course_code,course_name,rank,similarity,job_id,job_title,job_company,job_source
BBK3BAB3,Data Warehouse dan Business Intelligence,7,0.8057,li_4427131470,Software Developer,Nightwing,linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,8,0.8056,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,9,0.8045,li_3686416246,Epicor Software Programmer,"Patriot Machine, Inc.",linkedin
BBK3BAB3,Data Warehouse dan Business Intelligence,10,0.8043,li_4409624638,BI Data Analyst,Motion,linkedin
BBK3EAB3,Proyek Perangkat Lunak,1,0.8146,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK3EAB3,Proyek Perangkat Lunak,2,0.8139,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK3EAB3,Proyek Perangkat Lunak,3,0.8136,li_4412928692,Software Engineer 2,"Burke Porter, an Ascential Technologies Brand",linkedin
BBK3EAB3,Proyek Perangkat Lunak,4,0.813,li_4286968047,Software Engineer - All Levels,GlossGenius,linkedin
BBK3EAB3,Proyek Perangkat Lunak,5,0.812,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK3EAB3,Proyek Perangkat Lunak,6,0.8104,li_4286961888,Software Engineer - All Levels,GlossGenius,linkedin
BBK3EAB3,Proyek Perangkat Lunak,7,0.8089,li_4063256091,Software Engineer,Medplum,linkedin
BBK3EAB3,Proyek Perangkat Lunak,8,0.8073,li_4432248908,Machine Learning Engineer,KTek Resourcing,linkedin
BBK3EAB3,Proyek Perangkat Lunak,9,0.8071,li_4430606731,Mid-Level Software Engineer,Arcfield,linkedin
BBK3EAB3,Proyek Perangkat Lunak,10,0.8063,li_4435249402,SENIOR SOFTWARE ENGINEER - Payroll & AI,The Home Depot,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,1,0.8024,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,2,0.7989,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,3,0.7989,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,4,0.7959,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,5,0.7957,li_4430803025,Technical Data Analyst,Clearwater Analytics,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,6,0.795,li_4415682876,Business Analyst,Tata Consultancy Services,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,7,0.795,li_4418860602,Business Analyst,Tata Consultancy Services,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,8,0.7935,li_4411864449,ES Application Developer II,University of Houston,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,9,0.7933,li_4427868416,Software Engineer-EN,CAE,linkedin
BBK3FAB3,Sistem Informasi Akuntansi,10,0.7932,li_4375997156,Data Analyst,Chubb,linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,1,0.8078,li_3815119724,Software,Bay Mortgage Services,linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,2,0.8013,li_4428505624,Business Systems Analyst,CACI International Inc,linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,3,0.8013,li_4436961499,Data Analyst,Premier Technology Inc.,linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,4,0.8009,li_4429019731,AI/ML Engineer — Job Posting,Get Hire Technologies Inc.,linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,5,0.8003,li_4427645315,"IT Data Analyst | SQL, Power BI & Business Intelligence","Hillyard, Inc.",linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,6,0.7992,li_4385755079,Data Analyst,"Alterman, Inc.",linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,7,0.7987,li_4428620717,Systems Engineer,AISIN World Corp. of America,linkedin
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,8,0.7982,gd_1010011121137,Researcher (Contract),Civitech,glassdoor
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,9,0.7979,gd_1010155379526,Computer & Information Systems Specialist - Freelance AI Trainer Project,Ameridial,glassdoor
BBK3IAB3,Tata Kelola dan Manajemen Teknologi Informasi,10,0.7977,li_4375997156,Data Analyst,Chubb,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,1,0.8283,li_4372153003,Applied ML Engineer,Kognitos,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,2,0.8231,li_4378121889,Backend Engineer - San Francisco,Plaud,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,3,0.823,li_4427066903,AI/ML Engineer,Booz Allen Hamilton,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,4,0.8198,li_4395572219,Staff- Software Engineer,Walmart,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,5,0.8194,li_4286968047,Software Engineer - All Levels,GlossGenius,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,6,0.819,li_4380008807,Software Engineer II (Maritime),Torch.AI,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,7,0.8188,li_4432488212,Machine Learning Engineer,Harrison Clarke,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,8,0.8186,li_4286961888,Software Engineer - All Levels,GlossGenius,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,9,0.8185,li_4411827298,"Machine Learning Engineer II, CNN Digital Products and Services",CNN,linkedin
BBK4EBB3,Pengembangan Sistem Cerdas,10,0.8182,li_4431885618,AI & ML Engineer,Booz Allen Hamilton,linkedin
